Barack_Obama	born_in	Honolulu
Barack_Obama	spouse	Michelle_Obama
Michelle_Obama	born_in	Chicago
Michelle_Obama	spouse	Barack_Obama
Honolulu	located_in	Hawaii
Chicago	located_in	Illinois
Hawaii	country	United_States
Illinois	country	United_States
Barack_Obama	occupation	Politician
Michelle_Obama	occupation	Lawyer
Barack_Obama	party	Democratic_Party
Michelle_Obama	party	Democratic_Party
Honolulu	population	345064
Chicago	population	2716000
Hawaii	capital	Honolulu
Illinois	capital	Springfield
Springfield	located_in	Illinois
Democratic_Party	type	Political_Party
